Tickers                       	Years                         	Percent Changes               
SPB,HRG                       	2006, 2007, 2008              	20.27%, 5.48%, -17.51%        
SPB,HRG                       	2007, 2008, 2009              	5.48%, -17.51%, 16.03%        
SPB,HRG                       	2008, 2009, 2010              	-17.51%, 16.03%, -14.15%      
SPB,HRG                       	2009, 2010, 2011              	16.03%, -14.15%, -34.69%      
SPB,HRG                       	2010, 2011, 2012              	-14.15%, -34.69%, 88.02%      
SPB,HRG                       	2011, 2012, 2013              	-34.69%, 88.02%, 53.1%        
SPB,HRG                       	2012, 2013, 2014              	88.02%, 53.1%, 18.1%          
SPB,HRG                       	2013, 2014, 2015              	53.1%, 18.1%, -2.66%          
SPB,HRG                       	2014, 2015, 2016              	18.1%, -2.66%, 17.61%         
SPB,HRG                       	2015, 2016, 2017              	-2.66%, 17.61%, 9.5%          
ENR,EPC                       	2000, 2001, 2002              	-8.56%, -6.79%, 46.15%        
ENR,EPC                       	2001, 2002, 2003              	-6.79%, 46.15%, 31.37%        
ENR,EPC                       	2002, 2003, 2004              	46.15%, 31.37%, 34.77%        
ENR,EPC                       	2003, 2004, 2005              	31.37%, 34.77%, 2.98%         
ENR,EPC                       	2004, 2005, 2006              	34.77%, 2.98%, 40.85%         
ENR,EPC                       	2005, 2006, 2007              	2.98%, 40.85%, 56.04%         
ENR,EPC                       	2006, 2007, 2008              	40.85%, 56.04%, -51.71%       
ENR,EPC                       	2007, 2008, 2009              	56.04%, -51.71%, 5.46%        
ENR,EPC                       	2008, 2009, 2010              	-51.71%, 5.46%, 16.4%         
ENR,EPC                       	2009, 2010, 2011              	5.46%, 16.4%, 5.75%           
ENR,EPC                       	2010, 2011, 2012              	16.4%, 5.75%, 0.86%           
ENR,EPC                       	2011, 2012, 2013              	5.75%, 0.86%, 32.88%          
ENR,EPC                       	2012, 2013, 2014              	0.86%, 32.88%, 19.95%         
